stage_id,level_cm,sample_no,adc,voltaje_v
0,0,1,0,0.142
0,0,2,719,0.7214
0,0,3,710,0.7142
0,0,4,706,0.7109
0,0,5,742,0.7399
0,0,6,727,0.7279
0,0,7,717,0.7198
0,0,8,701,0.7069
0,0,9,723,0.7246
0,0,10,725,0.7262
0,0,11,743,0.7408
0,0,12,718,0.7206
0,0,13,704,0.7093
0,0,14,752,0.748
0,0,15,712,0.7158
0,0,16,693,0.7005
0,0,17,705,0.7101
0,0,18,740,0.7383
0,0,19,697,0.7037
0,0,20,721,0.723
0,0,21,715,0.7182
0,0,22,732,0.7319
0,0,23,706,0.7109
0,0,24,722,0.7238
0,0,25,719,0.7214
0,0,26,710,0.7142
0,0,27,747,0.744
0,0,28,742,0.7399
0,0,29,707,0.7117
0,0,30,703,0.7085
1,1,1,790,0.7786
1,1,2,767,0.7601
1,1,3,813,0.7972
1,1,4,768,0.7609
1,1,5,782,0.7722
1,1,6,791,0.7794
1,1,7,752,0.748
1,1,8,782,0.7722
1,1,9,791,0.7794
1,1,10,797,0.7843
1,1,11,752,0.748
1,1,12,768,0.7609
1,1,13,793,0.781
1,1,14,795,0.7827
1,1,15,772,0.7641
1,1,16,777,0.7682
1,1,17,781,0.7714
1,1,18,791,0.7794
1,1,19,810,0.7947
1,1,20,768,0.7609
1,1,21,784,0.7738
1,1,22,759,0.7536
1,1,23,768,0.7609
1,1,24,783,0.773
1,1,25,784,0.7738
1,1,26,785,0.7746
1,1,27,800,0.7867
1,1,28,790,0.7786
1,1,29,795,0.7827
1,1,30,771,0.7633
2,2,1,809,0.7939
2,2,2,842,0.8205
2,2,3,784,0.7738
2,2,4,819,0.802
2,2,5,825,0.8068
2,2,6,812,0.7964
2,2,7,816,0.7996
2,2,8,818,0.8012
2,2,9,829,0.8101
2,2,10,827,0.8084
2,2,11,813,0.7972
2,2,12,813,0.7972
2,2,13,795,0.7827
2,2,14,827,0.8084
2,2,15,780,0.7706
2,2,16,829,0.8101
2,2,17,825,0.8068
2,2,18,813,0.7972
2,2,19,827,0.8084
2,2,20,817,0.8004
2,2,21,847,0.8246
2,2,22,818,0.8012
2,2,23,838,0.8173
2,2,24,826,0.8076
2,2,25,808,0.7931
2,2,26,811,0.7956
2,2,27,817,0.8004
2,2,28,806,0.7915
2,2,29,861,0.8358
2,2,30,813,0.7972
3,3,1,848,0.8254
3,3,2,833,0.8133
3,3,3,836,0.8157
3,3,4,837,0.8165
3,3,5,851,0.8278
3,3,6,857,0.8326
3,3,7,848,0.8254
3,3,8,848,0.8254
3,3,9,822,0.8044
3,3,10,837,0.8165
3,3,11,862,0.8367
3,3,12,842,0.8205
3,3,13,827,0.8084
3,3,14,837,0.8165
3,3,15,848,0.8254
3,3,16,831,0.8117
3,3,17,839,0.8181
3,3,18,847,0.8246
3,3,19,862,0.8367
3,3,20,816,0.7996
3,3,21,823,0.8052
3,3,22,848,0.8254
3,3,23,848,0.8254
3,3,24,865,0.8391
3,3,25,848,0.8254
3,3,26,822,0.8044
3,3,27,848,0.8254
3,3,28,830,0.8109
3,3,29,833,0.8133
3,3,30,841,0.8197
4,4,1,837,0.8165
4,4,2,899,0.8665
4,4,3,851,0.8278
4,4,4,879,0.8504
4,4,5,874,0.8463
4,4,6,874,0.8463
4,4,7,874,0.8463
4,4,8,893,0.8616
4,4,9,909,0.8745
4,4,10,876,0.8479
4,4,11,847,0.8246
4,4,12,879,0.8504
4,4,13,877,0.8487
4,4,14,896,0.8641
4,4,15,848,0.8254
4,4,16,889,0.8584
4,4,17,866,0.8399
4,4,18,899,0.8665
4,4,19,853,0.8294
4,4,20,863,0.8375
4,4,21,887,0.8568
4,4,22,885,0.8552
4,4,23,878,0.8495
4,4,24,889,0.8584
4,4,25,867,0.8407
4,4,26,893,0.8616
4,4,27,848,0.8254
4,4,28,880,0.8512
4,4,29,847,0.8246
4,4,30,847,0.8246
5,5,1,915,0.8794
5,5,2,941,0.9003
5,5,3,886,0.856
5,5,4,912,0.8769
5,5,5,926,0.8882
5,5,6,927,0.889
5,5,7,912,0.8769
5,5,8,958,0.914
5,5,9,918,0.8818
5,5,10,935,0.8955
5,5,11,938,0.8979
5,5,12,927,0.889
5,5,13,938,0.8979
5,5,14,933,0.8939
5,5,15,950,0.9076
5,5,16,934,0.8947
5,5,17,944,0.9027
5,5,18,928,0.8898
5,5,19,930,0.8915
5,5,20,896,0.8641
5,5,21,881,0.852
5,5,22,950,0.9076
5,5,23,931,0.8923
5,5,24,944,0.9027
5,5,25,928,0.8898
5,5,26,892,0.8608
5,5,27,925,0.8874
5,5,28,943,0.9019
5,5,29,913,0.8778
5,5,30,914,0.8786
6,6,1,944,0.9027
6,6,2,974,0.9269
6,6,3,960,0.9156
6,6,4,961,0.9164
6,6,5,976,0.9285
6,6,6,990,0.9398
6,6,7,944,0.9027
6,6,8,968,0.9221
6,6,9,978,0.9301
6,6,10,981,0.9325
6,6,11,944,0.9027
6,6,12,975,0.9277
6,6,13,949,0.9068
6,6,14,985,0.9358
6,6,15,944,0.9027
6,6,16,943,0.9019
6,6,17,976,0.9285
6,6,18,976,0.9285
6,6,19,986,0.9366
6,6,20,946,0.9043
6,6,21,987,0.9374
6,6,22,958,0.914
6,6,23,955,0.9116
6,6,24,965,0.9197
6,6,25,992,0.9414
6,6,26,947,0.9052
6,6,27,943,0.9019
6,6,28,965,0.9197
6,6,29,977,0.9293
6,6,30,978,0.9301
7,7,1,1010,0.9559
7,7,2,994,0.943
7,7,3,998,0.9462
7,7,4,1043,0.9825
7,7,5,1023,0.9664
7,7,6,1039,0.9793
7,7,7,1047,0.9857
7,7,8,994,0.943
7,7,9,1009,0.9551
7,7,10,989,0.939
7,7,11,994,0.943
7,7,12,1007,0.9535
7,7,13,986,0.9366
7,7,14,992,0.9414
7,7,15,1003,0.9503
7,7,16,1002,0.9495
7,7,17,1006,0.9527
7,7,18,1022,0.9656
7,7,19,997,0.9454
7,7,20,1009,0.9551
7,7,21,991,0.9406
7,7,22,1061,0.997
7,7,23,1022,0.9656
7,7,24,1011,0.9567
7,7,25,1017,0.9616
7,7,26,1023,0.9664
7,7,27,1008,0.9543
7,7,28,997,0.9454
7,7,29,985,0.9358
7,7,30,995,0.9438
8,8,1,994,0.943
8,8,2,990,0.9398
8,8,3,1037,0.9777
8,8,4,1031,0.9728
8,8,5,1013,0.9583
8,8,6,1018,0.9624
8,8,7,1035,0.9761
8,8,8,1040,0.9801
8,8,9,1038,0.9785
8,8,10,1069,1.0035
8,8,11,1042,0.9817
8,8,12,1040,0.9801
8,8,13,1055,0.9922
8,8,14,1046,0.9849
8,8,15,1035,0.9761
8,8,16,1053,0.9906
8,8,17,1053,0.9906
8,8,18,1040,0.9801
8,8,19,1059,0.9954
8,8,20,1069,1.0035
8,8,21,1023,0.9664
8,8,22,1051,0.989
8,8,23,999,0.9471
8,8,24,1045,0.9841
8,8,25,1055,0.9922
8,8,26,1054,0.9914
8,8,27,1022,0.9656
8,8,28,1060,0.9962
8,8,29,1063,0.9986
8,8,30,1056,0.993
9,7,1,1009,0.9551
9,7,2,978,0.9301
9,7,3,989,0.939
9,7,4,979,0.9309
9,7,5,1001,0.9487
9,7,6,1001,0.9487
9,7,7,987,0.9374
9,7,8,1011,0.9567
9,7,9,1008,0.9543
9,7,10,1023,0.9664
9,7,11,1011,0.9567
9,7,12,1007,0.9535
9,7,13,1037,0.9777
9,7,14,1019,0.9632
9,7,15,1008,0.9543
9,7,16,1036,0.9769
9,7,17,1033,0.9745
9,7,18,1020,0.964
9,7,19,1035,0.9761
9,7,20,1013,0.9583
9,7,21,1011,0.9567
9,7,22,1005,0.9519
9,7,23,1008,0.9543
9,7,24,987,0.9374
9,7,25,991,0.9406
9,7,26,1023,0.9664
9,7,27,1004,0.9511
9,7,28,996,0.9446
9,7,29,1009,0.9551
9,7,30,1008,0.9543
10,6,1,959,0.9148
10,6,2,965,0.9197
10,6,3,951,0.9084
10,6,4,933,0.8939
10,6,5,962,0.9172
10,6,6,977,0.9293
10,6,7,953,0.91
10,6,8,972,0.9253
10,6,9,968,0.9221
10,6,10,983,0.9342
10,6,11,966,0.9205
10,6,12,958,0.914
10,6,13,975,0.9277
10,6,14,960,0.9156
10,6,15,970,0.9237
10,6,16,927,0.889
10,6,17,944,0.9027
10,6,18,944,0.9027
10,6,19,952,0.9092
10,6,20,965,0.9197
10,6,21,962,0.9172
10,6,22,951,0.9084
10,6,23,944,0.9027
10,6,24,976,0.9285
10,6,25,954,0.9108
10,6,26,931,0.8923
10,6,27,963,0.918
10,6,28,961,0.9164
10,6,29,976,0.9285
10,6,30,953,0.91
11,5,1,929,0.8906
11,5,2,933,0.8939
11,5,3,917,0.881
11,5,4,923,0.8858
11,5,5,918,0.8818
11,5,6,942,0.9011
11,5,7,911,0.8761
11,5,8,906,0.8721
11,5,9,900,0.8673
11,5,10,902,0.8689
11,5,11,926,0.8882
11,5,12,938,0.8979
11,5,13,938,0.8979
11,5,14,955,0.9116
11,5,15,912,0.8769
11,5,16,944,0.9027
11,5,17,944,0.9027
11,5,18,911,0.8761
11,5,19,918,0.8818
11,5,20,929,0.8906
11,5,21,911,0.8761
11,5,22,902,0.8689
11,5,23,919,0.8826
11,5,24,885,0.8552
11,5,25,942,0.9011
11,5,26,925,0.8874
11,5,27,911,0.8761
11,5,28,919,0.8826
11,5,29,922,0.885
11,5,30,914,0.8786
12,4,1,874,0.8463
12,4,2,881,0.852
12,4,3,881,0.852
12,4,4,889,0.8584
12,4,5,876,0.8479
12,4,6,879,0.8504
12,4,7,881,0.852
12,4,8,881,0.852
12,4,9,838,0.8173
12,4,10,895,0.8632
12,4,11,847,0.8246
12,4,12,881,0.852
12,4,13,880,0.8512
12,4,14,894,0.8624
12,4,15,848,0.8254
12,4,16,880,0.8512
12,4,17,893,0.8616
12,4,18,841,0.8197
12,4,19,871,0.8439
12,4,20,877,0.8487
12,4,21,887,0.8568
12,4,22,839,0.8181
12,4,23,880,0.8512
12,4,24,866,0.8399
12,4,25,858,0.8334
12,4,26,896,0.8641
12,4,27,848,0.8254
12,4,28,853,0.8294
12,4,29,896,0.8641
12,4,30,865,0.8391
13,3,1,857,0.8326
13,3,2,848,0.8254
13,3,3,823,0.8052
13,3,4,838,0.8173
13,3,5,835,0.8149
13,3,6,818,0.8012
13,3,7,812,0.7964
13,3,8,871,0.8439
13,3,9,801,0.7875
13,3,10,823,0.8052
13,3,11,816,0.7996
13,3,12,821,0.8036
13,3,13,853,0.8294
13,3,14,816,0.7996
13,3,15,832,0.8125
13,3,16,834,0.8141
13,3,17,831,0.8117
13,3,18,799,0.7859
13,3,19,837,0.8165
13,3,20,835,0.8149
13,3,21,835,0.8149
13,3,22,823,0.8052
13,3,23,835,0.8149
13,3,24,831,0.8117
13,3,25,835,0.8149
13,3,26,861,0.8358
13,3,27,847,0.8246
13,3,28,835,0.8149
13,3,29,839,0.8181
13,3,30,793,0.781
14,2,1,777,0.7682
14,2,2,779,0.7698
14,2,3,834,0.8141
14,2,4,779,0.7698
14,2,5,758,0.7528
14,2,6,768,0.7609
14,2,7,793,0.781
14,2,8,797,0.7843
14,2,9,770,0.7625
14,2,10,777,0.7682
14,2,11,801,0.7875
14,2,12,796,0.7835
14,2,13,771,0.7633
14,2,14,783,0.773
14,2,15,774,0.7657
14,2,16,775,0.7665
14,2,17,826,0.8076
14,2,18,778,0.769
14,2,19,769,0.7617
14,2,20,806,0.7915
14,2,21,815,0.7988
14,2,22,785,0.7746
14,2,23,797,0.7843
14,2,24,779,0.7698
14,2,25,783,0.773
14,2,26,800,0.7867
14,2,27,806,0.7915
14,2,28,781,0.7714
14,2,29,767,0.7601
14,2,30,807,0.7923
15,1,1,746,0.7432
15,1,2,761,0.7553
15,1,3,739,0.7375
15,1,4,733,0.7327
15,1,5,752,0.748
15,1,6,742,0.7399
15,1,7,767,0.7601
15,1,8,752,0.748
15,1,9,726,0.7271
15,1,10,733,0.7327
15,1,11,751,0.7472
15,1,12,722,0.7238
15,1,13,735,0.7343
15,1,14,736,0.7351
15,1,15,712,0.7158
15,1,16,750,0.7464
15,1,17,758,0.7528
15,1,18,727,0.7279
15,1,19,752,0.748
15,1,20,739,0.7375
15,1,21,720,0.7222
15,1,22,706,0.7109
15,1,23,770,0.7625
15,1,24,752,0.748
15,1,25,741,0.7391
15,1,26,750,0.7464
15,1,27,731,0.7311
15,1,28,730,0.7303
15,1,29,730,0.7303
15,1,30,723,0.7246
16,0,1,716,0.719
16,0,2,765,0.7585
16,0,3,751,0.7472
16,0,4,747,0.744
16,0,5,720,0.7222
16,0,6,724,0.7254
16,0,7,726,0.7271
16,0,8,725,0.7262
16,0,9,707,0.7117
16,0,10,721,0.723
16,0,11,733,0.7327
16,0,12,752,0.748
16,0,13,752,0.748
16,0,14,705,0.7101
16,0,15,753,0.7488
16,0,16,731,0.7311
16,0,17,741,0.7391
16,0,18,727,0.7279
16,0,19,741,0.7391
16,0,20,736,0.7351
16,0,21,759,0.7536
16,0,22,734,0.7335
16,0,23,765,0.7585
16,0,24,735,0.7343
16,0,25,733,0.7327
16,0,26,757,0.752
16,0,27,722,0.7238
16,0,28,743,0.7408
16,0,29,747,0.744
16,0,30,705,0.7101
